index_in_source,combined_position
1,4971
2,1887
3,4122
4,3379
5,9459
6,2781
7,3113
8,6544
9,35
10,6057
11,6464
12,4170
13,3397
14,2740
15,3514
16,394
17,1025
18,2621
19,1372
20,670
21,8141
22,7722
23,1206
24,1618
25,9325
26,9807
27,8364
28,3248
29,2922
30,8928
31,2943
32,2338
33,2017
34,1067
35,478
36,73
37,7235
38,1889
39,2185
40,40
41,4341
42,620
43,6966
44,1376
45,8440
46,1033
47,9662
48,4704
49,7444
50,4208
51,4168
52,97
53,5552
54,4187
55,2930
56,4076
57,143
58,7250
59,1783
60,7228
61,1004
62,8074
63,7546
64,2314
65,2465
66,2400
67,3086
68,869
69,4959
70,1406
71,3311
72,7437
73,1433
74,866
75,1275
76,8566
77,6658
78,2604
79,1185
80,7053
81,1545
82,3603
83,6665
84,1098
85,842
86,1488
87,2785
88,9505
89,5410
90,8401
91,2490
92,9296
93,1352
94,3819
95,1980
96,4037
97,7875
98,3491
99,6438
100,3490
101,4415
102,4789
103,1905
104,6862
105,408
106,2947
107,3023
108,3027
109,4374
110,2358
111,8234
112,8600
113,4693
114,3010
115,502
116,5987
117,3632
118,3379
119,5824
120,8786
121,2452
122,1953
123,6799
124,3520
125,3538
126,6047
127,5734
128,2692
129,1438
130,4751
131,2144
132,7199
133,2208
134,2762
135,7789
136,555
137,3821
138,7600
139,5972
140,5742
141,1785
142,5232
143,326
144,1268
145,7162
146,103
147,2537
148,1280
149,3955
150,8717
151,1877
152,1543
153,1284
154,932
155,4927
156,8279
157,9685
158,450
159,4281
160,2748
161,3367
162,143
163,2838
164,2825
165,6640
166,3391
167,6023
168,724
169,4990
170,7762
171,1613
172,8327
173,2193
174,4566
175,2421
176,8313
177,464
178,5288
179,2145
180,3986
181,2944
182,6
183,1159
184,5430
185,8310
186,7570
187,5785
188,9674
189,7656
190,5303
191,1821
192,3762
193,1630
194,789
195,1115
196,3950
197,7174
198,75
199,180
200,2411
201,5589
202,142
203,628
204,1632
205,1775
206,3241
207,2756
208,983
209,237
210,2011
211,2985
212,594
213,56
214,7274
215,1890
216,9380
217,6486
218,2766
219,708
220,8885
221,8447
222,4780
223,3519
224,4613
225,440
226,3205
227,3715
228,4965
229,350
230,780
231,2271
232,7504
233,7487
234,3242
235,7860
236,7966
237,93
238,3657
239,4593
240,320
241,8221
242,2312
243,8582
244,4848
245,8417
246,3999
247,2731
248,1537
249,6405
250,9216
251,5295
252,5057
253,7112
254,2923
255,4650
256,3092
257,575
258,475
259,4655
260,6753
261,1616
262,63
263,87
264,242
265,2630
266,930
267,4924
268,4189
269,6543
270,5594
271,7829
272,3643
273,398
274,2279
275,5739
276,2318
277,3551
278,6788
279,6145
280,7917
281,2445
282,4175
283,828
284,53
285,8138
286,1338
287,7594
288,1180
289,3120
290,2234
291,7862
292,2970
293,2548
294,3202
295,230
296,5022
297,1392
298,1457
299,6529
300,2289
301,3073
302,5308
303,6166
304,3082
305,6451
306,1716
307,330
308,3484
309,734
310,249
311,1122
312,5381
313,3782
314,2110
315,100
316,226
317,1667
318,5644
319,1382
320,5540
321,3601
322,5548
323,1648
324,365
325,2391
326,4536
327,448
328,1212
329,8702
330,1939
331,6810
332,6903
333,6343
334,777
335,5071
336,929
337,7195
338,6741
339,2708
340,9467
341,6003
342,1473
343,3
344,7450
345,611
346,150
347,2514
348,5967
349,1215
350,7947
351,5972
352,3634
353,1994
354,1388
355,8427
356,471
357,2139
358,475
359,5051
360,5039
361,3693
362,3001
363,970
364,4263
365,5265
366,1207
367,559
368,3142
369,916
370,4511
371,7066
372,1055
373,791
374,9257
375,3444
376,7692
377,3922
378,3423
379,2454
380,3094
381,5722
382,2723
383,1774
384,6464
385,3722
386,2749
387,3479
388,550
389,1558
390,4695
391,2355
392,4872
393,9537
394,1504
395,5928
396,6849
397,1712
398,6796
399,1414
400,5049
401,1753
402,3890
403,539
404,134
405,109
406,5474
407,5515
408,57
409,4441
410,3739
411,6412
412,2616
413,4226
414,1097
415,610
416,259
417,5047
418,9057
419,2045
420,6050
421,769
422,4662
423,2198
424,8513
425,6867
426,270
427,7850
428,5126
429,1622
430,1569
431,2206
432,4491
433,8680
434,2390
435,4163
436,4835
437,6744
438,2571
439,3665
440,140
441,9
442,5401
443,3554
444,1075
445,3602
446,1809
447,795
448,1733
449,487
450,7654
451,1427
452,7381
453,334
454,231
455,4
456,5627
457,8887
458,2390
459,865
460,5724
461,373
462,7644
463,4037
464,7661
465,536
466,637
467,2476
468,3378
469,1255
470,3631
471,3834
472,562
473,5921
474,3275
475,7572
476,2522
477,1380
478,2479
479,1604
480,438
481,81
482,6038
483,454
484,5897
485,4698
486,7
487,5200
488,34
489,1876
490,27
491,5778
492,141
493,736
494,2396
495,7737
496,6169
497,3652
498,8560
499,3030
500,9894
501,359
502,6997
503,2925
504,869
505,2366
506,21
507,135
508,9117
509,4459
510,7074
511,385
512,9704
513,193
514,4557
515,2721
516,4877
517,18
518,7170
519,4906
520,1656
521,2548
522,294
523,358
524,454
525,378
526,1365
527,3397
528,178
529,6092
530,8863
531,2502
532,1764
533,4481
534,1314
535,1181
536,1503
537,8831
538,1336
539,3543
540,253
541,3484
542,8938
543,62
544,76
545,4421
546,629
547,168
548,6451
549,2721
550,169
551,5611
552,5882
553,906
554,363
555,61
556,8368
557,8366
558,776
559,7299
560,1996
561,4126
562,1373
563,3405
564,1462
565,5410
566,848
567,6237
568,6755
569,750
570,1517
571,8712
572,760
573,1175
574,1353
575,1214
576,1745
577,6251
578,5838
579,5522
580,6663
581,330
582,614
583,4499
584,2024
585,24
586,9354
587,1303
588,6829
589,2690
590,4528
591,8741
592,1985
593,144
594,5070
595,762
596,6725
597,4576
598,5642
599,319
600,6700
601,324
602,5682
603,1575
604,9835
605,3008
606,6657
607,261
608,3057
609,1449
610,4245
611,5093
612,7797
613,1000
614,4934
615,1739
616,8324
617,275
618,1077
619,458
620,859
621,5265
622,2503
623,395
624,2839
625,2304
626,37
627,504
628,1018
629,92
630,6845
631,199
632,7319
633,2651
634,4329
635,6184
636,2472
637,498
638,5225
639,7003
640,5552
641,3023
642,6699
643,1075
644,2042
645,710
646,2892
647,6935
648,6017
649,1995
650,527
651,528
652,1648
653,1674
654,8297
655,5273
656,3401
657,704
658,273
659,137
660,5785
661,5188
662,3688
663,1401
664,2152
665,1061
666,6978
667,325
668,437
669,9018
670,590
671,2300
672,1685
673,8211
674,347
675,4736
676,2664
677,5336
678,1297
679,1788
680,5023
681,3325
682,6207
683,1714
684,1774
685,1285
686,7421
687,3506
688,3225
689,3997
690,5569
691,2940
692,98
693,3724
694,4141
695,4379
696,565
697,2291
698,3617
699,4522
700,8738
701,248
702,196
703,8741
704,354
705,7046
706,417
707,7719
708,3752
709,5136
710,1845
711,3631
712,6750
713,612
714,492
715,691
716,20
717,5990
718,1125
719,4349
720,2799
721,8718
722,999
723,9389
724,3230
725,3563
726,2037
727,348
728,2088
729,8626
730,298
731,902
732,7554
733,1556
734,4866
735,2610
736,5097
737,378
738,280
739,3679
740,4012
741,1196
742,6224
743,5712
744,1774
745,1823
746,1478
747,4023
748,5436
749,5590
750,263
751,785
752,417
753,442
754,5788
755,3701
756,8707
757,309
758,3986
759,7344
760,240
761,2098
762,243
763,138
764,1360
765,2040
766,3974
767,3976
768,8471
769,2477
770,8085
771,6392
772,2409
773,3750
774,145
775,3584
776,6012
777,9772
778,294
779,1878
780,495
781,2724
782,857
783,123
784,6330
785,4262
786,528
787,3661
788,7823
789,4038
790,7093
791,6237
792,6311
793,126
794,4633
795,3036
796,7733
797,7096
798,297
799,7065
800,311
801,7470
802,2575
803,1199
804,7587
805,4693
806,3775
807,6966
808,2527
809,4504
810,4102
811,1901
812,2885
813,5409
814,4995
815,766
816,933
817,3212
818,3689
819,4319
820,8153
821,6340
822,3472
823,12
824,52
825,8994
826,1681
827,1686
828,5456
829,1790
830,1209
831,1155
832,1726
833,1360
834,5962
835,69
836,356
837,3876
838,2462
839,700
840,2608
841,2205
842,695
843,1900
844,5665
845,509
846,6619
847,7632
848,151
849,2168
850,7087
851,597
852,1049
853,3870
854,1052
855,5723
856,520
857,8336
858,4240
859,296
860,1371
861,7587
862,989
863,6344
864,5695
865,1967
866,1134
867,7589
868,9489
869,9494
870,2362
871,4057
872,3750
873,1688
874,1090
875,121
876,2239
877,9050
878,2586
879,6529
880,3071
881,2636
882,1763
883,2363
884,2709
885,430
886,3458
887,3999
888,698
889,2136
890,4683
891,633
892,1204
893,1965
894,1329
895,3204
896,299
897,3552
898,8661
899,6877
900,5790
901,1402
902,6446
903,1244
904,5397
905,3426
906,2360
907,9302
908,1317
909,1258
910,5014
911,5147
912,201
913,5690
914,4824
915,4677
916,1729
917,106
918,3784
919,381
920,6985
921,409
922,6689
923,2499
924,4218
925,4390
926,5811
927,4236
928,9324
929,1806
930,2971
931,5805
932,5075
933,616
934,4261
935,143
936,901
937,3507
938,2888
939,2063
940,6507
941,3018
942,4031
943,3089
944,286
945,4858
946,652
947,6337
948,6891
949,2197
950,7775
951,6976
952,301
953,6975
954,110
955,3328
956,1640
957,5908
958,9584
959,655
960,6656
961,7909
962,2175
963,8718
964,1491
965,3719
966,2456
967,4025
968,1105
969,5507
970,9516
971,1533
972,4909
973,6314
974,184
975,9206
976,965
977,753
978,5437
979,77
980,7391
981,3938
982,2067
983,3181
984,4364
985,6907
986,6985
987,560
988,3224
989,1649
990,2146
991,6762
992,1027
993,7411
994,1463
995,5001
996,6620
997,1072
998,1608
999,31
1000,9559
1001,1397
1002,6024
1003,2936
1004,6789
1005,4082
1006,7484
1007,8630
1008,1459
1009,1833
1010,4080
1011,3548
1012,1064
1013,6101
1014,5510
1015,8814
1016,225
1017,29
1018,4548
1019,7588
1020,2256
1021,2737
1022,507
1023,1460
1024,573
1025,4145
1026,7417
1027,4210
1028,3256
1029,3800
1030,1248
1031,822
1032,534
1033,3150
1034,320
1035,5086
1036,295
1037,4415
1038,5064
1039,8327
1040,6777
1041,3516
1042,1691
1043,849
1044,1886
1045,1750
1046,8745
1047,1173
1048,1611
1049,673
1050,6842
1051,995
1052,1078
1053,578
1054,465
1055,8140
1056,1204
1057,8992
1058,3933
1059,1276
1060,672
1061,7767
1062,3826
1063,288
1064,675
1065,1600
1066,166
1067,6014
1068,4063
1069,7119
1070,880
1071,9548
1072,120
1073,5703
1074,5765
1075,5888
1076,1506
1077,3413
1078,72
1079,4304
1080,1832
1081,1839
1082,2796
1083,8170
1084,1331
1085,5878
1086,8642
1087,6340
1088,2629
1089,7480
1090,2290
1091,5800
1092,4476
1093,657
1094,3956
1095,2562
1096,5601
1097,3873
1098,1141
1099,1645
1100,3351
1101,4479
1102,1019
1103,8782
1104,5959
1105,6864
1106,3660
1107,1061
1108,6380
1109,655
1110,2631
1111,7346
1112,6248
1113,467
1114,4892
1115,6963
1116,681
1117,1697
1118,2962
1119,413
1120,2487
1121,694
1122,1554
1123,5035
1124,5849
1125,615
1126,6023
1127,3406
1128,2968
1129,5317
1130,1184
1131,5976
1132,1470
1133,6440
1134,352
1135,1135
1136,4762
1137,4619
