index_in_source,combined_position
1,3639
2,1181
3,3138
4,1863
5,21
6,1894
7,9437
8,3787
9,4740
10,7945
11,1631
12,6024
13,4470
14,2598
15,944
16,3107
17,35
18,7057
19,2368
20,2107
21,2063
22,1294
23,2791
24,4845
25,2200
26,525
27,661
28,5119
29,7661
30,426
31,7141
32,1537
33,6533
34,4744
35,3904
36,8942
37,2232
38,331
39,7885
40,2983
41,1837
42,87
43,394
44,747
45,886
46,6634
47,6965
48,183
49,8332
50,1281
51,2624
52,2675
53,172
54,9200
55,2243
56,1703
57,410
58,1957
59,105
60,5260
61,251
62,2375
63,843
64,1317
65,1327
66,648
67,616
68,3640
69,1749
70,132
71,6471
72,7325
73,2267
74,2993
75,1710
76,6373
77,7287
78,1131
79,1999
80,2719
81,4547
82,1039
83,8084
84,36
85,613
86,8755
87,5322
88,68
89,6154
90,226
91,4404
92,4831
93,42
94,2861
95,2504
96,255
97,1104
98,3284
99,5174
100,1526
101,6432
102,2917
103,5134
104,1323
105,86
106,4697
107,8600
108,3869
109,5503
110,1677
111,2401
112,769
113,6954
114,2694
115,6685
116,4821
117,3294
118,1359
119,8534
120,1195
121,6991
122,1720
123,1860
124,2283
125,5648
126,4261
127,43
128,7136
129,6083
130,6049
131,6142
132,8911
133,182
134,4654
135,1266
136,8838
137,1449
138,5706
139,4137
140,1352
141,1510
142,5637
143,4422
144,2708
145,2541
146,7782
147,5123
148,1238
149,786
150,8000
151,1369
152,1710
153,4478
154,4110
155,361
156,1680
157,6286
158,6084
159,3588
160,5010
161,4850
162,1975
163,2152
164,2990
165,1623
166,376
167,3962
168,8270
169,4182
170,7009
171,9079
172,1220
173,7958
174,3852
175,1053
176,3712
177,6828
178,2878
179,4468
180,2772
181,5814
182,219
183,3910
184,6698
185,2003
186,5078
187,3938
188,6590
189,917
190,8668
191,8154
192,7104
193,2718
194,5848
195,3279
196,4116
197,1902
198,305
199,1811
200,7469
201,2306
202,588
203,4293
204,5341
205,5689
206,2782
207,4393
208,5235
209,469
210,341
211,3781
212,1933
213,6837
214,2186
215,223
216,78
217,6079
218,1289
219,147
220,1365
221,7370
222,3941
223,10
224,1766
225,8815
226,7794
227,1019
228,656
229,2245
230,6419
231,3823
232,160
233,8367
234,8909
235,2690
236,7807
237,5948
238,8653
239,1786
240,6198
241,7709
242,144
243,2553
244,497
245,5314
246,2551
247,438
248,1777
249,1035
250,6148
251,2531
252,8381
253,8726
254,7510
255,6187
256,5437
257,3178
258,2159
259,913
260,4419
261,3246
262,1862
263,4524
264,2359
265,123
266,1822
267,7545
268,1291
269,9088
270,3319
271,3202
272,4643
273,7051
274,286
275,7303
276,8938
277,9836
278,3099
279,7926
280,4183
281,332
282,5785
283,3963
284,491
285,1857
