index_in_source,combined_position
1,6177
2,6034
3,1
4,3737
5,9761
6,2972
7,6071
8,8421
9,7173
10,946
11,1602
12,3469
13,1571
14,2749
15,437
16,2118
17,5442
18,3641
19,3463
20,6815
21,6668
22,3223
23,3221
24,2124
25,830
26,880
27,6313
28,2994
29,993
30,1548
31,1549
32,1170
33,3649
34,201
35,3973
36,443
37,348
38,7119
39,7325
40,2538
41,5764
42,5103
43,5597
44,4313
45,1475
46,4169
47,8268
48,2086
49,1100
50,314
51,4521
52,579
53,8575
54,3279
55,2455
56,318
57,394
58,2957
59,6227
60,6027
61,336
62,244
63,1695
64,9433
65,12
66,111
67,3426
68,832
69,308
70,2686
71,2234
72,7272
73,8247
74,1470
75,4128
76,1298
77,277
78,2216
79,28
80,575
81,4802
82,7576
83,2355
84,479
85,1903
86,764
87,1559
88,5426
89,1542
90,6460
91,561
92,3646
93,5458
94,9459
95,2246
96,1137
97,4864
98,373
99,365
100,144
101,56
102,8011
103,75
104,2231
105,1579
106,4423
107,4694
108,210
109,2911
110,2509
111,2404
112,582
113,270
114,7416
115,39
116,1709
117,2899
118,3526
119,4603
120,4860
121,3025
122,2454
123,9142
124,1135
125,4426
126,843
127,734
128,3600
129,2115
130,2824
131,4172
132,5635
133,9739
134,1796
135,9404
136,8989
137,6010
138,2966
139,3041
140,688
141,5260
142,2052
143,8198
144,2142
145,2981
146,3534
147,607
148,18
149,6187
150,8350
151,214
152,214
153,4613
154,7373
155,8161
156,1611
157,1231
158,4039
159,7317
160,7354
161,2814
162,2062
163,3034
164,340
165,7247
166,7164
167,6516
168,59
169,2409
170,274
171,5791
172,2174
173,1612
174,7030
175,4682
176,6966
177,6175
178,7736
179,4298
180,2432
181,810
182,574
183,2083
184,2347
185,844
186,996
187,7664
188,687
189,4233
190,4915
191,2102
192,667
193,8418
194,4131
195,2207
196,889
197,8352
198,1897
199,2949
200,3576
201,6242
202,1119
203,343
204,4465
205,1177
206,1609
207,44
208,7069
209,3674
210,5747
211,6474
212,7628
213,7579
214,1360
215,8591
216,5043
217,9430
218,532
219,16
220,1152
221,7221
222,2928
223,1189
224,4328
225,9157
226,1904
227,3887
228,1592
229,9740
230,4003
231,3610
232,4766
233,8451
234,5803
235,34
236,6682
237,3075
238,5988
239,1511
240,358
241,421
242,2642
243,851
244,4275
245,2160
246,7477
247,2881
248,7714
249,2969
250,5515
251,9069
252,1688
253,4694
254,2625
255,4777
256,928
257,6800
258,6697
259,5704
260,3792
261,101
262,8768
263,712
264,9110
265,3049
266,3054
267,1378
268,4864
269,1103
270,3541
271,2633
272,3931
273,8189
274,3337
275,7886
276,4242
277,1805
278,2980
279,342
280,64
281,2839
282,4605
283,3717
284,2650
285,563
286,7600
287,1523
288,1099
289,3637
290,2556
291,2112
292,257
293,1328
294,6821
295,1411
296,8378
297,6155
298,5380
299,1910
300,2136
301,7736
302,8704
303,513
304,3134
305,1485
306,121
307,646
308,879
309,9355
310,2523
311,37
312,447
313,2037
314,2507
315,2802
316,915
317,6075
318,133
319,4284
320,6764
321,6878
322,287
323,638
324,5146
325,6748
326,2831
327,630
328,1521
329,6288
330,3054
331,5452
332,9034
333,155
334,7515
335,1065
336,1512
337,5550
338,2178
339,499
340,1988
341,517
342,8
343,2373
344,7548
345,5346
346,845
347,5158
348,3506
349,595
350,5204
351,3359
352,4639
353,257
354,7529
355,9250
356,6764
357,1305
358,6600
359,8229
360,349
361,9757
362,2167
363,3052
364,19
365,3444
366,9427
367,3604
368,9365
369,1771
370,1940
371,3604
372,3089
373,4738
374,2877
375,6722
376,1713
377,372
378,3283
379,1649
380,7450
381,2666
382,5577
383,8830
384,2504
385,6267
386,4767
387,9431
388,1731
389,2333
390,702
391,9756
392,4808
393,8781
394,522
395,8735
396,7600
397,4794
398,4561
399,7182
400,5361
401,3068
402,6688
403,5206
404,695
405,23
406,6582
407,4298
408,3350
409,1742
410,6693
411,5873
412,1575
413,3460
414,2897
415,4649
416,958
417,2580
418,7025
419,6986
420,3548
421,46
422,1862
423,7539
424,4661
425,512
426,2990
427,2873
428,2055
429,484
430,573
431,2821
432,9594
433,4848
